N	FP	LP	UTS
1600	21	2800	146.6
1600	21	3000	175.7
1800	21	2600	135.7
1800	21	2800	190.8
1800	21	0	118.3
1600	21	0	71.1
1800	14	2600	98.05
1800	21	2600	128.1
1800	14	2800	133.1
1600	14	2600	109.4
1600	14	3000	200.3
1600	21	2800	140.3
1600	21	0	60.3
1600	14	3000	210.4
1800	21	3000	215.4
1600	14	0	160.3
1800	14	0	169.2
1600	14	2800	165.6
1800	21	2800	186.41
1600	21	2600	105.1
1800	14	0	171.5
1600	21	3000	150.8
1800	21	2600	129.2
1600	14	2600	131.6
1800	21	2800	181.7
1800	14	3000	175.1
1800	21	3000	212.1
1600	21	2800	148.7
1800	21	0	110.4
1600	14	2600	140.2
1600	21	3000	180.2
1800	21	3000	207.6
1600	14	0	162.2
1800	14	2600	99.9
1800	14	2800	112.5
1800	14	3000	185.6
1600	21	2600	107.5
1800	14	3000	192.7
1600	14	0	171.2
1800	14	2800	135.6
1600	21	0	60.6
1800	14	0	175.7
1600	14	2800	162.4
1600	14	2800	170.6
1800	14	2600	91.4
1800	21	0	107.8
1600	14	3000	200.4
1600	21	2600	114.9
